"""""fixed acidity"""";""""volatile acidity"""";""""citric acid"""";""""residual sugar"""";""""chlorides"""";""""free sulfur dioxide"""";""""total sulfur dioxide"""";""""density"""";""""pH"""";""""sulphates"""";""""alcohol"""";""""quality""""","""fixed acidity"""";""""volatile acidity"""";""""citric acid"""";""""residual sugar"""";""""chlorides"""";""""free sulfur dioxide"""";""""total sulfur dioxide"""";""""density"""";""""pH"""";""""sulphates"""";""""alcohol"""";""""quality"""""
7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;5,
,8.3;0.26;0.42;2;0.08;11;27;0.9974;3.21;0.8;9.4;6
,11.9;0.38;0.49;2.7;0.098;12;42;1.0004;3.16;0.61;10.3;5
6.7;0.46;0.24;1.7;0.077;18;34;0.9948;3.39;0.6;10.6;6,
6.8;0.41;0.31;8.8;0.084;26;45;0.99824;3.38;0.64;10.1;6,
8.7;0.54;0.26;2.5;0.097;7;31;0.9976;3.27;0.6;9.3;6,
12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7,
6.2;0.57;0.1;2.1;0.048;4;11;0.99448;3.44;0.76;10.8;6,
11.7;0.45;0.63;2.2;0.073;7;23;0.99974;3.21;0.69;10.9;6,
7.1;0.46;0.14;2.8;0.076;15;37;0.99624;3.36;0.49;10.7;5,
10.9;0.39;0.47;1.8;0.118;6;14;0.9982;3.3;0.75;9.8;6,
6.6;0.5;0.01;1.5;0.06;17;26;0.9952;3.4;0.58;9.8;6,
6.6;0.735;0.02;7.9;0.122;68;124;0.9994;3.47;0.53;9.9;5,
10.2;0.44;0.58;4.1;0.092;11;24;0.99745;3.29;0.99;12;7,
7.1;0.875;0.05;5.7;0.082;3;14;0.99808;3.4;0.52;10.2;3,
8.6;0.47;0.3;3;0.076;30;135;0.9976;3.3;0.53;9.4;5,
8;0.38;0.06;1.8;0.078;12;49;0.99625;3.37;0.52;9.9;6,
,10.5;0.51;0.64;2.4;0.107;6;15;0.9973;3.09;0.66;11.8;7
7.9;0.35;0.21;1.9;0.073;46;102;0.9964;3.27;0.58;9.5;5,
8.9;0.12;0.45;1.8;0.075;10;21;0.99552;3.41;0.76;11.9;7,
8.2;0.26;0.34;2.5;0.073;16;47;0.99594;3.4;0.78;11.3;7,
7.5;0.52;0.42;2.3;0.087;8;38;0.9972;3.58;0.61;10.5;6,
7.2;0.725;0.05;4.65;0.086;4;11;0.9962;3.41;0.39;10.9;5,
6.7;0.56;0.09;2.9;0.079;7;22;0.99669;3.46;0.61;10.2;5,
7.9;0.58;0.23;2.3;0.076;23;94;0.99686;3.21;0.58;9.5;6,
9.5;0.59;0.44;2.3;0.071;21;68;0.9992;3.46;0.63;9.5;5,
,10.7;0.35;0.53;2.6;0.07;5;16;0.9972;3.15;0.65;11;8
7.9;0.765;0;2;0.084;9;22;0.99619;3.33;0.68;10.9;6,
7.7;0.53;0.06;1.7;0.074;9;39;0.99615;3.35;0.48;9.8;6,
8.9;0.31;0.36;2.6;0.056;10;39;0.99562;3.4;0.69;11.8;5,
8.2;0.6;0.17;2.3;0.072;11;73;0.9963;3.2;0.45;9.3;5,
9;0.48;0.32;2.8;0.084;21;122;0.9984;3.32;0.62;9.4;5,
7.6;1.58;0;2.1;0.137;5;9;0.99476;3.5;0.4;10.9;3,
6.2;0.56;0.09;1.7;0.053;24;32;0.99402;3.54;0.6;11.3;5,
10.1;0.65;0.37;5.1;0.11;11;65;1.0026;3.32;0.64;10.4;6,
7;0.735;0.05;2;0.081;13;54;0.9966;3.39;0.57;9.8;5,
7.7;0.26;0.3;1.7;0.059;20;38;0.9949;3.29;0.47;10.8;6,
10.3;0.53;0.48;2.5;0.063;6;25;0.9998;3.12;0.59;9.3;6,
9.5;0.57;0.27;2.3;0.082;23;144;0.99782;3.27;0.55;9.4;5,
5.9;0.61;0.08;2.1;0.071;16;24;0.99376;3.56;0.77;11.1;6,
8.8;0.24;0.35;1.7;0.055;13;27;0.99394;3.14;0.59;11.3;7,
7.6;0.43;0.29;2.1;0.075;19;66;0.99718;3.4;0.64;9.5;5,
7.5;0.31;0.41;2.4;0.065;34;60;0.99492;3.34;0.85;11.4;6,
7;0.54;0.09;2;0.081;10;16;0.99479;3.43;0.59;11.5;6,
8.4;0.56;0.04;2;0.082;10;22;0.9976;3.22;0.44;9.6;5,
,7;0.62;0.08;1.8;0.076;8;24;0.9978;3.48;0.53;9;5
6.9;0.58;0.01;1.9;0.08;40;54;0.99683;3.4;0.73;9.7;5,
7.5;0.6;0.03;1.8;0.095;25;99;0.995;3.35;0.54;10.1;5,
7.5;0.58;0.2;2;0.073;34;44;0.99494;3.1;0.43;9.3;5,
7.1;0.67;0;2.3;0.083;18;27;0.99768;3.44;0.54;9.4;5,
,9.2;0.41;0.5;2.5;0.055;12;25;0.9952;3.34;0.79;13.3;7
7.7;0.39;0.12;1.7;0.097;19;27;0.99596;3.16;0.49;9.4;5,
6.9;0.52;0.25;2.6;0.081;10;37;0.99685;3.46;0.5;11;5,
5.4;0.58;0.08;1.9;0.059;20;31;0.99484;3.5;0.64;10.2;6,
6.6;0.705;0.07;1.6;0.076;6;15;0.9962;3.44;0.58;10.7;5,
7.1;0.6;0;1.8;0.074;16;34;0.9972;3.47;0.7;9.9;6,
7.1;0.59;0;2.1;0.091;9;14;0.99488;3.42;0.55;11.5;7,
10.1;0.43;0.4;2.6;0.092;13;52;0.99834;3.22;0.64;10;7,
,8.1;0.56;0.28;1.7;0.368;16;56;0.9968;3.11;1.28;9.3;5
8.2;0.38;0.32;2.5;0.08;24;71;0.99624;3.27;0.85;11;6,
9;0.4;0.43;2.4;0.068;29;46;0.9943;3.2;0.6;12.2;6,
8.6;0.47;0.27;2.3;0.055;14;28;0.99516;3.18;0.8;11.2;5,
7.4;0.55;0.19;1.8;0.082;15;34;0.99655;3.49;0.68;10.5;5,
8.9;0.24;0.39;1.6;0.074;3;10;0.99698;3.12;0.59;9.5;6,
7.3;0.43;0.24;2.5;0.078;27;67;0.99648;3.6;0.59;11.1;6,
7.1;0.48;0.28;2.8;0.068;6;16;0.99682;3.24;0.53;10.3;5,
6.6;0.52;0.04;2.2;0.069;8;15;0.9956;3.4;0.63;9.4;6,
6.8;0.5;0.11;1.5;0.075;16;49;0.99545;3.36;0.79;9.5;5,
8.3;0.715;0.15;1.8;0.089;10;52;0.9968;3.23;0.77;9.5;5,
9.1;0.21;0.37;1.6;0.067;6;10;0.99552;3.23;0.58;11.1;7,
7.2;0.695;0.13;2;0.076;12;20;0.99546;3.29;0.54;10.1;5,
7.6;0.645;0.03;1.9;0.086;14;57;0.9969;3.37;0.46;10.3;5,
8.9;0.48;0.53;4;0.101;3;10;0.99586;3.21;0.59;12.1;7,
7;0.65;0.02;2.1;0.066;8;25;0.9972;3.47;0.67;9.5;6,
11.6;0.41;0.54;1.5;0.095;22;41;0.99735;3.02;0.76;9.9;7,
,10;0.59;0.31;2.2;0.09;26;62;0.9994;3.18;0.63;10.2;6
7.8;0.56;0.19;1.8;0.104;12;47;0.9964;3.19;0.93;9.5;5,
8.7;0.52;0.09;2.5;0.091;20;49;0.9976;3.34;0.86;10.6;7,
7.2;0.65;0.02;2.3;0.094;5;31;0.9993;3.67;0.8;9.7;5,
7.1;0.63;0.06;2;0.083;8;29;0.99855;3.67;0.73;9.6;5,
,10.9;0.53;0.49;4.6;0.118;10;17;1.0002;3.07;0.56;11.7;6
7.1;0.75;0.01;2.2;0.059;11;18;0.99242;3.39;0.4;12.8;6,
7.3;0.45;0.36;5.9;0.074;12;87;0.9978;3.33;0.83;10.5;5,
6.3;0.47;0;1.4;0.055;27;33;0.9922;3.45;0.48;12.3;6,
7.8;0.6;0.26;2;0.08;31;131;0.99622;3.21;0.52;9.9;5,
9;0.62;0.04;1.9;0.146;27;90;0.9984;3.16;0.7;9.4;5,
7;0.6;0.12;2.2;0.083;13;28;0.9966;3.52;0.62;10.2;7,
7.3;0.695;0;2.5;0.075;3;13;0.998;3.49;0.52;9.2;5,
8.6;0.635;0.68;1.8;0.403;19;56;0.99632;3.02;1.15;9.3;5,
7.5;0.705;0.24;1.8;0.36;15;63;0.9964;3;1.59;9.5;5,
9.3;0.61;0.26;3.4;0.09;25;87;0.99975;3.24;0.62;9.7;5,
6.7;0.16;0.64;2.1;0.059;24;52;0.99494;3.34;0.71;11.2;6,
8;0.48;0.34;2.2;0.073;16;25;0.9936;3.28;0.66;12.4;6,
10.3;0.59;0.42;2.8;0.09;35;73;0.999;3.28;0.7;9.5;6,
7.4;0.55;0.19;1.8;0.082;15;34;0.99655;3.49;0.68;10.5;5,
8.4;0.29;0.4;1.7;0.067;8;20;0.99603;3.39;0.6;10.5;5,
10.5;0.24;0.47;2.1;0.066;6;24;0.9978;3.15;0.9;11;7,
12.6;0.38;0.66;2.6;0.088;10;41;1.001;3.17;0.68;9.8;6,
5.1;0.51;0.18;2.1;0.042;16;101;0.9924;3.46;0.87;12.9;7,
9.8;0.66;0.39;3.2;0.083;21;59;0.9989;3.37;0.71;11.5;7,
8.4;0.36;0.32;2.2;0.081;32;79;0.9964;3.3;0.72;11;6,
,14;0.41;0.63;3.8;0.089;6;47;1.0014;3.01;0.81;10.8;6
12.7;0.59;0.45;2.3;0.082;11;22;1;3;0.7;9.3;6,
9.3;0.655;0.26;2;0.096;5;35;0.99738;3.25;0.42;9.6;5,
7.3;0.67;0.02;2.2;0.072;31;92;0.99566;3.32;0.68;11.0666666666667;6,
,9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7
6.5;0.88;0.03;5.6;0.079;23;47;0.99572;3.58;0.5;11.2;4,
9.1;0.68;0.11;2.8;0.093;11;44;0.99888;3.31;0.55;9.5;6,
10.1;0.45;0.23;1.9;0.082;10;18;0.99774;3.22;0.65;9.3;6,
10;0.29;0.4;2.9;0.098;10;26;1.0006;3.48;0.91;9.7;5,
9;0.8;0.12;2.4;0.083;8;28;0.99836;3.33;0.65;10.4;6,
6.2;0.6;0.08;2;0.09;32;44;0.9949;3.45;0.58;10.5;5,
6.6;0.725;0.09;5.5;0.117;9;17;0.99655;3.35;0.49;10.8;6,
8;0.42;0.17;2;0.073;6;18;0.9972;3.29;0.61;9.2;6,
9.8;0.44;0.47;2.5;0.063;9;28;0.9981;3.24;0.65;10.8;6,
6.5;0.53;0.06;2;0.063;29;44;0.99489;3.38;0.83;10.3;6,
9.4;0.4;0.31;2.2;0.09;13;62;0.9966;3.07;0.63;10.5;6,
,8.6;0.49;0.29;2;0.11;19;133;0.9972;2.93;1.98;9.8;5
10.7;0.67;0.22;2.7;0.107;17;34;1.0004;3.28;0.98;9.9;6,
9.3;0.48;0.29;2.1;0.127;6;16;0.9968;3.22;0.72;11.2;5,
7.3;0.32;0.23;2.3;0.066;35;70;0.99588;3.43;0.62;10.1;5,
6.6;0.63;0;4.3;0.093;51;77.5;0.99558;3.2;0.45;9.5;5,
12.2;0.45;0.49;1.4;0.075;3;6;0.9969;3.13;0.63;10.4;5,
7.5;0.58;0.03;4.1;0.08;27;46;0.99592;3.02;0.47;9.2;5,
5.4;0.74;0;1.2;0.041;16;46;0.99258;4.01;0.59;12.5;6,
7.9;0.58;0.23;2.3;0.076;23;94;0.99686;3.21;0.58;9.5;6,
7.6;0.715;0;2.1;0.068;30;35;0.99533;3.48;0.65;11.4;6,
10.8;0.26;0.45;3.3;0.06;20;49;0.9972;3.13;0.54;9.6;5,
8;0.64;0.22;2.4;0.094;5;33;0.99612;3.37;0.58;11;5,
8.3;0.56;0.22;2.4;0.082;10;86;0.9983;3.37;0.62;9.5;5,
9.9;0.57;0.25;2;0.104;12;89;0.9963;3.04;0.9;10.1;5,
7;0.43;0.3;2;0.085;6;39;0.99346;3.33;0.46;11.9;6,
7.6;0.74;0;1.9;0.1;6;12;0.99521;3.36;0.59;11;5,
7.6;0.63;0.03;2;0.08;27;43;0.99578;3.44;0.64;10.9;6,
6.2;0.46;0.17;1.6;0.073;7;11;0.99425;3.61;0.54;11.4;5,
7.6;0.52;0.12;3;0.067;12;53;0.9971;3.36;0.57;9.1;5,
6.7;0.86;0.07;2;0.1;20;57;0.99598;3.6;0.74;11.7;6,
7;0.62;0.18;1.5;0.062;7;50;0.9951;3.08;0.6;9.3;5,
6.1;0.705;0.1;2.8;0.081;13;28;0.99631;3.6;0.66;10.2;5,
7.5;0.61;0.26;1.9;0.073;24;88;0.99612;3.3;0.53;9.8;5,
7.9;0.3;0.68;8.3;0.05;37.5;289;0.99316;3.01;0.51;12.3;7,
11.4;0.26;0.44;3.6;0.071;6;19;0.9986;3.12;0.82;9.3;6,
7.2;0.725;0.05;4.65;0.086;4;11;0.9962;3.41;0.39;10.9;5,
8.4;0.34;0.42;2.1;0.072;23;36;0.99392;3.11;0.78;12.4;6,
,7.4;0.66;0;1.8;0.075;13;40;0.9978;3.51;0.56;9.4;5
7;0.42;0.19;2.3;0.071;18;36;0.99476;3.39;0.56;10.9;5,
8.8;0.61;0.14;2.4;0.067;10;42;0.9969;3.19;0.59;9.5;5,
6.8;0.91;0.06;2;0.06;4;11;0.99592;3.53;0.64;10.9;4,
10.8;0.47;0.43;2.1;0.171;27;66;0.9982;3.17;0.76;10.8;6,
6.1;0.58;0.23;2.5;0.044;16;70;0.99352;3.46;0.65;12.5;6,
7.1;0.69;0.08;2.1;0.063;42;52;0.99608;3.42;0.6;10.2;6,
8.1;0.66;0.7;2.2;0.098;25;129;0.9972;3.08;0.53;9;5,
9.6;0.38;0.42;1.9;0.071;5;13;0.99659;3.15;0.75;10.5;6,
6.8;0.69;0;5.6;0.124;21;58;0.9997;3.46;0.72;10.2;5,
7.7;0.935;0.43;2.2;0.114;22;114;0.997;3.25;0.73;9.2;5,
11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6,
15.6;0.685;0.76;3.7;0.1;6;43;1.0032;2.95;0.68;11.2;7,
7.3;0.4;0.3;1.7;0.08;33;79;0.9969;3.41;0.65;9.5;6,
7.8;0.815;0.01;2.6;0.074;48;90;0.99621;3.38;0.62;10.8;5,
,7.6;0.9;0.06;2.5;0.079;5;10;0.9967;3.39;0.56;9.8;5
,5;1.04;0.24;1.6;0.05;32;96;0.9934;3.74;0.62;11.5;5
8.5;0.46;0.31;2.25;0.078;32;58;0.998;3.33;0.54;9.8;5,
7.1;0.62;0.06;1.3;0.07;5;12;0.9942;3.17;0.48;9.8;5,
7.3;0.98;0.05;2.1;0.061;20;49;0.99705;3.31;0.55;9.7;3,
6.8;0.62;0.08;1.9;0.068;28;38;0.99651;3.42;0.82;9.5;6,
9.6;0.68;0.24;2.2;0.087;5;28;0.9988;3.14;0.6;10.2;5,
,9.4;0.27;0.53;2.4;0.074;6;18;0.9962;3.2;1.13;12;7
7.5;0.49;0.19;1.9;0.076;10;44;0.9957;3.39;0.54;9.7;5,
7.7;0.915;0.12;2.2;0.143;7;23;0.9964;3.35;0.65;10.2;7,
7.5;0.53;0.06;2.6;0.086;20;44;0.9965;3.38;0.59;10.7;6,
11.6;0.475;0.4;1.4;0.091;6;28;0.99704;3.07;0.65;10.0333333333333;6,
7.7;0.61;0.18;2.4;0.083;6;20;0.9963;3.29;0.6;10.2;6,
7.3;0.67;0.02;2.2;0.072;31;92;0.99566;3.32;0.68;11.1;6,
9.1;0.45;0.35;2.4;0.08;23;78;0.9987;3.38;0.62;9.5;5,
6.8;0.65;0.02;2.1;0.078;8;15;0.99498;3.35;0.62;10.4;6,
,8.1;0.575;0.22;2.1;0.077;12;65;0.9967;3.29;0.51;9.2;5
8.3;1.02;0.02;3.4;0.084;6;11;0.99892;3.48;0.49;11;3,
13.3;0.34;0.52;3.2;0.094;17;53;1.0014;3.05;0.81;9.5;6,
7.7;0.43;0.25;2.6;0.073;29;63;0.99615;3.37;0.58;10.5;6,
7.1;0.47;0;2.2;0.067;7;14;0.99517;3.4;0.58;10.9;4,
6.6;0.58;0.02;2.4;0.069;19;40;0.99387;3.38;0.66;12.6;6,
8.8;0.61;0.3;2.8;0.088;17;46;0.9976;3.26;0.51;9.3;4,
,12.8;0.615;0.66;5.8;0.083;7;42;1.0022;3.07;0.73;10;7
9.1;0.29;0.33;2.05;0.063;13;27;0.99516;3.26;0.84;11.7;7,
12.2;0.48;0.54;2.6;0.085;19;64;1;3.1;0.61;10.5;6,
6.3;0.76;0;2.9;0.072;26;52;0.99379;3.51;0.6;11.5;6,
7.3;0.39;0.31;2.4;0.074;9;46;0.9962;3.41;0.54;9.4;6,
6.9;0.48;0.2;1.9;0.082;9;23;0.99585;3.39;0.43;9.05;4,
9.2;0.92;0.24;2.6;0.087;12;93;0.9998;3.48;0.54;9.8;5,
11.6;0.41;0.54;1.5;0.095;22;41;0.99735;3.02;0.76;9.9;7,
9.2;0.36;0.34;1.6;0.062;5;12;0.99667;3.2;0.67;10.5;6,
7.9;0.65;0.01;2.5;0.078;17;38;0.9963;3.34;0.74;11.7;7,
